PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

1010 EAST 178TH STREET

## TOTAL UNITS: 220

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3083290225 | 9 | M | 1560 EAST 102ND STREET | 11236 | 18 | 08 | 19 | 59 | 46 | 3331427 |

## TOTAL UNITS: 441

## TRANSFERRED DATE:

BAYCHESTER

**Borough:** BRONX

| 2049050360 | 1 | M | 1870 SCHIEFFELIN AVENUE | ZIP CODE 10466 | CD # 12 | FC # 16 | SS # 36 | SA # 83 | CC # 12 | BIN# 2093740 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2049050360 | 1 |  | 1860 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093740 |
| 2049050360 | 1 |  | 1225 EAST 225TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2093740 |
| 2049050360 | 10 | M | 1871 SCHIEFFELIN PLACE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093749 |
| 2049050360 | 11 | M | 1891 SCHIEFFELIN PLACE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093751 |
| 2049050360 | 12 |  | 1220 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2093741 |
| 2049050360 | 2 | M | 1880 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093742 |
| 2049050360 | 3 | M | 1890 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093743 |
| 2049050360 | 4 | M | 1920 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093745 |
| 2049050360 | 5 | M | 1930 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093746 |
| 2049050360 | 6 | M | 1900 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093744 |
| 2049050360 | 6 |  | 1910 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093744 |
| 2049050360 | 7 | M | 1861 SCHIEFFELIN PLACE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093748 |
| 2049050360 | 8 9 | M M | 1881 SCHIEFFELIN PLACE 1851 SCHIEFFELIN PLACE | 10466 | 12 | 16 | 36 | 83 | 12 | 2093750 |

## TRANSFERRED DATE:

BEDFORD-STUYVESANT REHAB

## Borough: BROOKLYN

## TOTAL UNITS: 85

| : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3017610045 | 1 | M | 701 WILLOUGHBY AVENUE | 11206 | 3 | 08 | 25 | 56 | 36 | 3402532 |
| 3017610063 | 2 | M | 671 WILLOUGHBY AVENUE | 11206 | 3 | 08 | 25 | 56 | 36 | 3048928 |
| 3017610061 | 2 | M | 675 WILLOUGHBY AVENUE | 11206 | 3 | 08 | 25 | 56 | 36 | 3048927 |
| 3017690001 | 3 | M | 281 THROOP AVENUE | 11206 | 3 | 08 | 25 | 56 | 36 | 3049204 |
| 3017690001 | 3 | M | 213 HART STREET | 11206 | 3 | 08 | 25 | 56 | 36 | 3049231 |

## TRANSFERRED DATE:

## BELMONT-SUTTER AREA

## Borough: BROOKLYN

## TOTAL UNITS: 72

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3040290001 | 1 | M | 455 BARBEY STREET | 11207 | 5 | 08 | 19 | 60 | 42 | 3323714 |
| 3040290001 | 1 | M | 459 BARBEY STREET | 11207 | 5 | 08 | 19 | 60 | 42 | 3323714 |
| 3040290001 | 1 | M | 463 BARBEY STREET | 11207 | 5 | 08 | 19 | 60 | 42 | 3323714 |
| 3040290001 | 2 | M | 418 JEROME STREET | 11207 | 5 | 08 | 19 | 60 | 42 | 3323715 |
| 3040290001 | 2 | M | 422 JEROME STREET | 11207 | 5 | 08 | 19 | 60 | 42 | 3323715 |
| 3040290001 | 2 | M | 426 JEROME STREET | 11207 | 5 | 08 | 19 | 60 | 42 | 3323715 |

BBL =BoroughBlockLot M = Residential Mailing Address

---

| 3040290001 | 3 | M | 610 BELMONT AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3323716 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3040290001 | 3 | M | 616 BELMONT AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3323716 |

BERRY STREET-SOUTH 9TH STREET

| Borough: BROOKLYN BBL |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
